timestamp,device_id,confidence,reason,user_action
2025-12-11 07:37:17.735000,DW-2024-10119,0.9500,"Complex non-linear pattern detected",manual_qa_flag
2025-12-11 07:37:21.043000,DW-2024-10119,0.9500,"Complex non-linear pattern detected",manual_qa_flag
2025-12-11 07:37:22.222000,DW-2024-10119,0.9500,"Complex non-linear pattern detected",manual_qa_flag
2025-12-11 07:37:40.888000,DW-2024-10128,0.9500,"Complex non-linear pattern detected",manual_qa_flag
2025-12-11 07:41:49.408000,DW-2024-10256,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:42:13.408000,DW-2024-10268,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:43:31.405000,DW-2024-10307,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:43:41.406000,DW-2024-10312,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:43:43.405000,DW-2024-10313,0.9500,"Vibration (95.6) exceeds normal range",auto_detection
2025-12-11 07:43:47.411000,DW-2024-10315,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:44:21.405000,DW-2024-10332,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:44:25.405000,DW-2024-10334,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:45:09.404000,DW-2024-10356,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:45:29.403000,DW-2024-10366,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:48:05.399000,DW-2024-10444,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:48:35.397000,DW-2024-10459,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:49:01.396000,DW-2024-10472,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:49:17.396000,DW-2024-10480,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:50:05.396000,DW-2024-10504,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:50:09.395000,DW-2024-10506,0.9500,"Vibration (100.9) exceeds normal range",auto_detection
2025-12-11 07:50:15.396000,DW-2024-10509,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:50:19.396000,DW-2024-10511,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:50:53.395000,DW-2024-10528,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:51:23.395000,DW-2024-10543,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:51:27.395000,DW-2024-10545,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:51:33.395000,DW-2024-10548,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:52:11.394000,DW-2024-10567,0.9500,"Complex non-linear pattern detected",auto_detection
2025-12-11 07:52:45.394000,DW-2024-10584,0.9500,"Complex non-linear pattern detected",auto_detection
